[2022-01-04 15:49:15,638]:[8116-INFO]:[__main__]:[Successful commit: select operation]
[2022-01-04 15:49:25,958]:[6204-INFO]:[__main__]:[New session]
[2022-01-04 15:49:25,997]:[6204-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:49:26,004]:[6204-INFO]:[__main__]:[Successful commit: insert operation]
[2022-01-04 15:49:26,004]:[6204-INFO]:[__main__]:[Successful commit: select operation]
[2022-01-04 15:49:34,137]:[7668-INFO]:[__main__]:[New session]
[2022-01-04 15:49:34,176]:[7668-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:49:34,184]:[7668-INFO]:[__main__]:[Successful commit: insert operation]
[2022-01-04 15:49:34,184]:[7668-INFO]:[__main__]:[Successful commit: select operation]
[2022-01-04 15:49:41,916]:[7400-INFO]:[__main__]:[New session]
[2022-01-04 15:49:41,956]:[7400-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:49:41,956]:[7400-INFO]:[__main__]:[Successful commit: insert operation]
[2022-01-04 15:49:41,956]:[7400-INFO]:[__main__]:[Successful commit: select operation]
[2022-01-04 15:49:52,058]:[7248-INFO]:[__main__]:[New session]
[2022-01-04 15:49:52,098]:[7248-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:49:52,100]:[7248-INFO]:[__main__]:[Unsuccessful commit: 
	INSERT INTO qqqqq (pasw) VALUES ()
	insert operation]
[2022-01-04 15:49:52,101]:[7248-INFO]:[__main__]:[Unsuccessful commit: 
	SELECT pasw FROM qqqqq 
	select operation]
[2022-01-04 15:49:58,680]:[6396-INFO]:[__main__]:[New session]
[2022-01-04 15:49:58,711]:[6396-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:49:58,719]:[6396-INFO]:[__main__]:[Unsuccessful commit: 
	INSERT INTO qqqqq (pasw) VALUES ()
	insert operation]
[2022-01-04 15:49:58,719]:[6396-INFO]:[__main__]:[Unsuccessful commit: 
	SELECT pasw FROM qqqqq 
	select operation]
[2022-01-04 15:50:10,452]:[6032-INFO]:[__main__]:[New session]
[2022-01-04 15:50:10,488]:[6032-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:50:10,496]:[6032-INFO]:[__main__]:[Successful commit: insert operation]
[2022-01-04 15:50:10,496]:[6032-INFO]:[__main__]:[Successful commit: select operation]
[2022-01-04 15:50:11,653]:[5024-INFO]:[__main__]:[New session]
[2022-01-04 15:50:11,692]:[5024-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:50:11,692]:[5024-INFO]:[__main__]:[Successful commit: insert operation]
[2022-01-04 15:50:11,700]:[5024-INFO]:[__main__]:[Successful commit: select operation]
[2022-01-04 15:50:12,517]:[1956-INFO]:[__main__]:[New session]
[2022-01-04 15:50:12,548]:[1956-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:50:12,556]:[1956-INFO]:[__main__]:[Successful commit: insert operation]
[2022-01-04 15:50:12,556]:[1956-INFO]:[__main__]:[Successful commit: select operation]
[2022-01-04 15:50:13,039]:[7208-INFO]:[__main__]:[New session]
[2022-01-04 15:50:13,079]:[7208-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:50:13,083]:[7208-INFO]:[__main__]:[Successful commit: insert operation]
[2022-01-04 15:50:13,084]:[7208-INFO]:[__main__]:[Successful commit: select operation]
[2022-01-04 15:50:13,365]:[5292-INFO]:[__main__]:[New session]
[2022-01-04 15:50:13,410]:[5292-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:50:13,410]:[5292-INFO]:[__main__]:[Successful commit: insert operation]
[2022-01-04 15:50:13,410]:[5292-INFO]:[__main__]:[Successful commit: select operation]
[2022-01-04 15:50:13,710]:[6120-INFO]:[__main__]:[New session]
[2022-01-04 15:50:13,749]:[6120-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 15:50:13,751]:[6120-INFO]:[__main__]:[Successful commit: insert operation]
